tweet_id	text_text	twitter_user_id	abuse
333644914913079296	i know for a fact that alcohol does not deplete the seroquel levels in your blood, yet here we are	230052171	0
344825926342832128	mg seroquel with my ‘normal’ mg lovan and mcg clonazepam.	179074771	0
333854289023864832	seven missed calls? get you're seroquel mg lowered. you're getting ridiculous	333099736	0
344606561873833985	there's a fella on my facebook who is asking to swap seroquel for yellas or tramadol hahahahahaha not right	464202509	1
341947615853813761	you take vyvanse? i was on that stuff for like years. mg. but a few months ago i switched to adderall mg	90304006	0
328655421256654849	antipsychotics: seroquel (sedation); olanzapine, risperidone, aripiprazole, lithium as augmenting agent	1371093139	0
333735685406224385	i take seroquel and it's supposed to just relax me i end up falling asleep within hours. my brain's always scattered haha	38919907	0
344937940146855937	seroquel is pretty heavy stuff. i would've thought you would have only gotten an ssri, not a psychotropic.	185070700	0
342112352130449409	tell me why this kid just gave me six seroquel for two cigarettes. what has this come to? lol	345065773	0
341680382179160065	look at the tweet near that one. i refuse to take that seroquel xr anymore. it's bullshit	38971420	0
332223414595117056	just about dead, think it's bedtime.. fuck you seroquel	52782775	0
333733798787284992	i may not have weed, but i do have seroquel i found while cleaning my room :3 -g	1373158400	1
340530953015402497	i hate to hear that. taking seroquel is like swallowing a sleeping pill when u wake up then trying to function normally	323940583	0
343565496320417792	im bout to slip some of my seroquel into her drink. she gonna be knocked	369114238	1
344277608759975936	i prescribed seroquel to my obese patient along with a diet. he still takes seroquel, but is no longer obese  health is good	46989098	0
341178969535705088	&lt; seroquel - at high doses its for psychotics at a low dose it helps anxiety, depression  insomnia. mg i can finally sleep.	386313872	0
340274216471515136	but i would use it if i were asleep on seroquel and had to wake up quickly in an emergency. i hate stimulants. }8-€	1123283994	0
329007984845926402	were on the same meds haha serequol and seroquel are the same thing	857673764	0
329391569620856833	they mentioned seroquel for me ages ago, but have changed their mind now. want to give me nothing. not happy!	586045105	0
342143067169632256	i been knocked the fuck out yo. like i took a seroquel or sumn	190770320	0
343814505706430464	right, got a date with ms seroquel and law abiding citizen on tv	18332340	0
341026211218194432	am and the seroquel has failed to sedate me	1317291756	0
340134027535204352	"""i dont take meds in the morning! vitamins? seroquels not vitamins. i didnt ask for a nicotine patch i said i dont fucking smoke."""	425214012	0
341242496321482753	(triggering) so... i'm taking seroquel and tramadol pre-cutting. i'm allergic to tramadol...this should be interesting	562490916	0
330278165765312512	i'll be on mg of seroquel for the next nights. i might never wake up again! x	273421529	0
344351386542174208	okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad	15147617	0
344359166556639232	: lemme suck the seroquel residue off your fingertips	31061240	1
329560087259672576	do you know what meds are r for bipolar depression? currently approved aka seroquel	158119360	0
340152385051688960	ur so ignorant im at the hospital right now took seroquel	1429295593	0
340601194655395840	just seeing whats occurring on twitter. .while waiting for the seroquel to kick in.	1449942523	0
331894263606550528	i was on it with prozac  seroquel but they took me off bcoz it's too addictive (what the fuck ever! gimme that shit!) lol	562490916	0
333901942021554176	my combo: lamictal, seroquel xr transitioning to zeodon, fluoxetine, have topamax for migraines as bonus adjunct	56114628	0
332456875436150785	next psych appt am gonna ask for this. i hate seroquel but p doc thinks it's miraculous	88166476	0
